n Yule_EDn4 Yule_varDn2 uniform_EDn4 uniform_varDn2
3 10.6032 3.57645936 10.6816 3.55056384
4 116.7946 29.14381116 143.366 33.86023975
5 559.751 115.173775 852.084333333 152.852084333
6 1837.405 334.25332975 3299.10283333 531.553777083
7 4648.04875 761.679639438 9872.4776 1498.69032944
8 10330.227875 1621.11553811 25175.2291667 3679.61304197
9 19785.9321429 2975.14267296 57131.8612 8153.92214784
10 35948.3028333 4931.63349308 115022.209286 16236.0130783
11 60700.8108333 8278.05291331 216900.093 31384.2510597
12 95272.004 12040.330999 391444.972667 56683.5989946
13 148901.411857 18688.7924571 669652.7456 98755.8404402
14 218716.455714 27015.592434 1088410.02725 161050.175727
15 312615.874143 37466.0191926 1698106.1014 254385.14076
16 431858.373 51719.538084 2574488.17178 376651.612784
17 581837.091 67078.194911 3851760.4402 582414.048004
18 792597.201111 90575.1604585 5605790.58218 868456.295888
19 1008930.95033 107804.127604 8035431.051 1282563.56862
20 1314117.9776 139680.209861 10973636.3438 1721375.03079
21 1691556.1064 180131.7464 14925992.1587 2372963.9835
22 2111253.99879 222144.379225 20431462.7251 3325307.71363
23 2568786.1097 253114.177718 26920094.5362 4332699.57285
24 3221368.88506 314841.723743 35937062.7494 5985483.23156
25 3964845.8317 406085.448557 46190407.4781 7778993.01897
26 4746072.21775 458904.23272 59724331.0999 9988049.22637
27 5731601.49207 559795.663917 75187496.825 12731656.3282
28 6796521.39989 651236.300456 94874193.8253 16598049.1644
29 8019323.53636 784547.93394 119803674.585 20903711.9798
30 9342171.70727 882820.786253 149201844.791 25675724.7003
31 10909030.6002 1013605.98178 183155475.522 31998804.7015
32 12703286.0325 1213797.31415 221797269.642 38974315.7198
33 14783412.6694 1343648.9286 273259791.285 48658132.323
34 17013293.8504 1566528.35412 324844272.213 58785758.8497
35 19625993.0798 1759730.04382 397633081.467 74720719.7277
36 21957077.9015 1880503.98678 470679533.399 88530963.4294
37 25150470.3795 2161149.67998 561466951.878 105118314.425
38 28179126.0314 2326304.45391 666621498.763 122839597.076
39 32248638.161 2809438.86658 767217386.139 143600470.123
40 36145325.9479 3069034.57247 934279361.385 181011837.023
41 40919158.9277 3622679.87322 1045402242.85 194176150.919
42 44243110.304 3770203.90778 1232468506.08 231732905.284
43 50079200.4853 4253019.46399 1393006729.17 260251516.134
44 55748079.5794 4718571.26547 1642318711.94 312995443.036
45 62652226.0537 5240675.73799 1904766679.12 376540282.144
46 68413655.9028 5668427.77011 2224761635.89 435549678.542
47 76006876.508 6424419.1159 2544627308.49 505619575.146
48 81801781.731 6353060.54137 2918606798.66 579179863.333
49 94451690.656 7999277.17156 3142064981.45 594973505.07
50 100985474.793 8719609.20785 3813721454.29 774175788.048
51 110557001.236 9378223.76994 4289558732.23 853391579.819
52 120041805.784 9460390.09546 4766910168.19 961045717.648
53 129146352.926 9876997.98107 5165415065.07 987225829.652
54 140923663.645 10231713.53 6056827468.82 1188643760.38
55 156806923.547 13569890.2389 6896320954.11 1387416056.06
56 168636036.436 13384568.1561 7681372050.33 1589317111.71
57 184098905.505 14776473.1937 8515233573.66 1740212488.32
58 199254483.321 15665782.3815 9500926200.88 1948321141.37
59 211716432.89 17083219.3586 10554626808.2 2153191648.96
60 226125277.012 16636368.653 11773052041 2429781694.45
61 246168602.76 18363709.5275 12946480883.7 2611789498.88
62 264243819.731 20288124.542 14386408389.5 2863277199.36
63 282464846.047 21159286.0393 15838402588.5 3285723551.75
64 300963535.014 21814538.0714 17965499986.7 3751409163.2
65 327598105.412 24841829.0006 19006379116.3 3984544444.03
66 346255692.621 26499192.3651 20885088262.3 4341612993.66
67 382833137.489 29832795.344 23333591232.2 4989212228.14
68 397396678.984 28827088.4217 25223418781.6 5216964544.3
69 427455271.873 33769018.6572 29456087368 6432195274.96
70 456936754.439 33261057.5479 30641810571.3 6529050095.2
71 489929749.605 37969995.052 33288413183.7 6888759405.05
72 517232461.29 38607398.784 35771945617.4 7556570792.31
73 546505566.753 40691987.6569 40344241390.9 8484689301.83
74 572742718.227 40804885.657 44091902129.8 9201611904.01
75 622137195.001 46991597.9233 46838994144.9 10247508415.6
76 650190994.337 45656099.2271 50056688457.5 10552361197.2
77 692395388.863 51057250.6566 56008507938.8 12034981767.9
78 736757821.544 54295824.8905 61510806775.9 13364076759.1
79 777492282.758 56795654.1139 64660062098.5 13981715289.6
80 827072256.44 61033481.2284 69946290137.2 14679111806.8
81 875477046.474 66365265.1397 74724862897.7 15712731580.9
82 917403237.543 63861571.9314 83451838192 18244576520.7
83 958054627.013 66739558.0753 91449129275 19663175054
84 1001735627.02 68332724.7959 96889934132.2 20563655920.9
85 1083024827.54 74755941.9785 104654405885 22958647516.8
86 1120513572.02 77579007.8529 111615032305 24519230515.1
87 1204802064.81 87464566.3838 120560362612 26079033546.9
88 1249866613.47 89100340.9403 125458423198 27162056234.3
89 1292018804.13 89830977.1569 138169662347 30428417637.1
90 1393152575.88 96508575.9015 141488773243 31330878472.8
91 1405526186.22 91672441.677 155132041553 33199669072.5
92 1485085394.66 97165681.4183 169214818177 36660370076.4
93 1571395476.81 106801964.49 180254623847 40011078814.6
94 1681385641.69 118554210.997 193303663157 41649009772.1
95 1760356581.48 123373724.14 211918158728 48346840670.4
96 1809113631.24 122107832.774 223325964275 49682076220
97 1908878476.88 135084464.002 229534866560 47391728991.7
98 1984225546.8 131455386.392 237024846746 51251147976.5
99 2080326237.36 136890203.528 264387887400 58528620148
100 2215236459.42 156041788.004 283035227956 64370271761.1
