"n" "Sackin" "Cophenetic" "overPhi2" "E(D2n)"
3 5 1 10 2.66666666666667
4 8.86792452830189 3.73584905660377 27.5471698113208 11.12210751157
5 13.5897435897436 9.1025641025641 59.4102564102564 28.3767258382643
6 18.325 15.4 97.175 50.7934583333333
7 23.3673469387755 23.530612244898 144.367346938776 79.9929394498324
8 29.7777777777778 38 227.666666666667 130.511463844797
9 35.9905660377358 52.2264150943396 323.311320754717 207.240318816503
10 43.125 74.9553571428571 443.401785714286 265.147976899093
11 51.4878048780488 102.634146341463 646.292682926829 427.540338543075
12 57.2857142857143 123.535714285714 735.25 461.101074520717
13 64.8333333333333 152.923076923077 913.75641025641 581.214509684924
14 70.8933333333333 174.133333333333 1031.08 677.752562637363
15 85.2833333333333 255.383333333333 1626.06666666667 1040.06903703704
16 87.1875 253.4125 1527.925 1035.34422786458
17 94.9375 292.015625 1801.046875 1287.7090956744
18 104.457831325301 350.10843373494 2132.18072289157 1449.67984007848
19 117.633802816901 442.619718309859 2772.39436619718 1796.81657890677
20 123.018691588785 462.663551401869 2888.72897196262 2010.86060331631
21 134 546.26 3395.32 2238.64011809524
22 147.586666666667 650.56 4435.10666666667 3225.7330955267
23 163.558441558442 806.467532467532 5616.31168831169 3764.99584476916
24 160.5 734.116666666667 4792.71666666667 3533.47568639291
25 174.394366197183 832.591549295775 5547.60563380282 4040.748417642
26 186.151515151515 951.424242424242 6374.30303030303 4512.52654375927
27 200.05 1112.86666666667 7806.75 5592.23361665084
28 200.734375 1070.3125 7308.640625 5677.90689393705
29 217.526315789474 1245.81578947368 8719.81578947369 6530.74116439011
30 224.949152542373 1307.62711864407 8774.81355932203 6314.595214085
31 245.722222222222 1597.90740740741 11820.2222222222 8763.02835818694
32 236.564102564103 1425.48717948718 9097.84615384615 6504.4277692944
33 255.926829268293 1664.26829268293 11626.7317073171 8792.23000153227
34 271.115384615385 1911.89743589744 12989.6538461538 8624.01211412184
35 295.936170212766 2218.23404255319 17274.8510638298 13005.5274929528
36 292.472222222222 2125.41666666667 15664.0555555556 12234.9491414364
37 311.913043478261 2405.21739130435 17478.9130434783 12326.3361773872
38 305.530120481928 2208.12048192771 15353.843373494 11923.2026179406
39 338.846153846154 2811.38461538462 20432.4358974359 13643.8163045301
40 330.054545454545 2631.56363636364 17537.9090909091 11872.281694003
41 349.229166666667 2842.5 19434.0208333333 13211.8795519986
42 378.081081081081 3406.16216216216 26500.4594594595 19244.0794199417
43 396.515151515152 3576.15151515152 28197.5151515152 20757.0032103986
44 385.428571428571 3407.08571428571 24475.0857142857 17655.9441273676
45 403.837209302326 3705.81395348837 27259.4651162791 19527.1809932751
46 438.261904761905 4334.16666666667 35970.9047619048 27291.2696577826
47 427.378378378378 3849.32432432432 30747.7837837838 26309.0732940106
48 506.1875 5585.83333333333 52029.5208333333 38061.0984415786
49 457.95 4538.85 36911.6 30227.288125
50 461.7 4599.775 35809.975 28549.7151336735
