"ga_0" "ga_0.1" "ga_0.2" "ga_0.3" "ga_0.4" "ga_0.5" "ga_0.6" "ga_0.7" "ga_0.8" "ga_0.9" "ga_1"
"al_0" 0.0049 NA NA NA NA NA NA NA NA NA NA
"al_0.1" 0.0158 0.0171 NA NA NA NA NA NA NA NA NA
"al_0.2" 0.0584 0.0559 0.0432 NA NA NA NA NA NA NA NA
"al_0.3" 0.135 0.1337 0.115 0.0137 NA NA NA NA NA NA NA
"al_0.4" 0.2071 0.2519 0.1561 0.0687 0.0227 NA NA NA NA NA NA
"al_0.5" 0.3473 0.3297 0.267 0.162 0.0929 0.0078 NA NA NA NA NA
"al_0.6" 0.4967 0.4734 0.4542 0.3418 0.1728 0.0761 0.0045 NA NA NA NA
"al_0.7" 0.6627 0.636 0.6283 0.4477 0.3427 0.2145 0.0679 9e-04 NA NA NA
"al_0.8" 0.7099 0.8048 0.6899 0.6514 0.4955 0.3386 0.2108 0.0727 0 NA NA
"al_0.9" 0.9031 0.7889 0.8372 0.678 0.5802 0.5877 0.3357 0.1931 0.0667 0 NA
"al_1" 0.6976 0.862 0.8725 0.8607 0.7001 0.6766 0.5607 0.3721 0.2 0.0605 1e-04
